  -3.24546 -0.0263771    9.13146   -9.15398   -16.2347    4.64189    8.98866   -13.6036    2.59836    3.05054   -3.79777     3.2304   -8.42994   -5.66201  -0.623779   -9.50722    11.8677    2.83152    11.9348    8.42932    4.67247   -4.35209 -0.0281696    4.39275    8.20995   -7.30586    1.71416  -0.104252    5.04981   -9.16974    11.1014
  -1.23308  -0.487497    6.78748    7.49637    9.16194    6.11983    6.40257 -0.0771552   -2.13354     3.1216    12.8721    2.67021 -0.0270784    6.40439   -5.63111   -3.76493   -7.88475    5.09397    9.12624    7.05424    3.47678   -1.58521   -8.45225    7.27633   -7.32111    10.8859 -0.0208849   -2.96461   -6.98681   -2.50394    9.40722
   1.74431   -3.44489    9.87904   -2.39308  0.0183945    -13.359     4.9883   -5.62397    6.99897   -2.57331    2.54801    8.08929   -8.21764   -4.40714   -2.22805    4.89232   -6.95271    4.67817    -2.5685     6.4883   -7.67238   -4.66297    -4.2658   -6.70068   -4.35543   -4.17599 -0.0181534    7.46283    7.84873    5.82847    5.08308
  -6.60386     3.9643   -5.43706     10.487    2.17264   -1.76205    -9.2657   -9.74125    8.38161   -4.15052     2.4266   -4.65678    -2.6987   -4.29281  -0.144583    7.13342    6.14221   -1.37457    -3.4253   -2.00826  0.0320368 -0.0333492    1.18012    4.24788   -1.53622   -2.52959 -0.0183683  -0.597006   -5.38511   -1.05584    18.0797
  5.5147 -10.8053  -9.1804 -3.30176  8.09556 -4.58511 -8.51848 0.181912  7.80058   -2.312 -6.47853  4.98056 -1.61972 -2.91795 -9.56567 -4.19245  3.90795  2.98329 -9.14827  -2.5952  4.05853  2.95622 -9.74877   4.5218  -0.5374 -4.37557 -3.84556  3.13271 -2.33388 -2.86137 -8.91508
   5.42209   -7.29863    9.01439   -12.3183   -4.72965   -1.11179   -5.44574    7.29655   0.543179   -3.64666  -0.319248   -9.45121   -6.52003   0.180333   -7.73528    9.57669   -3.66107    7.94087    5.01495    7.92282   -2.32216   -7.18571 -0.0441311    2.56082    6.23461    4.62903   -1.74811    1.38446   -6.07586   -3.22652     0.2469
  2.39167   -6.9898  -2.60914  -2.42314   -1.1626  -2.43841    5.4574   4.71527   8.41934  -5.92432   9.07977  -9.68299  -6.78884  0.612825   7.70634  -8.48882   1.21281   8.70252   2.24841  -5.12931  -9.44398   5.28655  -4.49515 -0.656245   1.86118  -7.81478  -4.47661   8.01081   1.41432  -1.31334   4.40747
 -6.9898  3.81282  -5.3679  11.3721 -2.43841  5.69439    3.678  5.34542    1.875  7.64484 -9.68299 0.610059 0.840544   5.1168 -8.48882  7.23627  7.92259 -10.7227 -9.16222 -1.18452  5.28655 -10.2382 -11.6502 -2.37503 -7.81478 -3.75195  7.43635  1.74224  1.34485   7.9229 -3.52989
-0.376695   11.2566  -5.45554  -2.23913  -4.47834  -6.93904   8.27677  -6.24747   2.35578  -15.3144   1.21445   11.7765  -9.95468   -5.9365 -0.465697  -5.81522  -5.98651  -1.14975   7.74568   1.19387  -13.8466  -1.18623   5.76386  0.956425  -4.49193   1.14479 -0.048064   4.55435   3.80637 -0.234149   1.58236
  9.44102 -0.548215  -2.23913  -7.65874  -6.93904   -5.8475  -6.24747   5.49149   -8.1268    9.4425   9.20624  -3.03966   -5.9365  -1.20069  -5.81522  0.897339  -1.14975    5.1273  -6.51985  -1.42372  -1.04843  0.740625  0.956425   7.42381   1.14479  -1.36305   4.55435  0.919654   5.15221  0.568605   6.18197
