  7.66812   3.08494  0.272327  -2.82532   -8.5054   1.59378  -6.21131  -3.23723  -7.69521  -7.46988 0.0755023   2.22672   4.80444  -5.98531    7.9814  0.236482
  4.48101  0.859674  -2.82532  -6.75817  -7.87398  -3.42613   5.07011  -7.69521  -8.02316   5.92603    1.0436  -4.93695  -5.98531   4.37056 -0.666811   29.1737
0.451006  5.97207 -6.75817  5.24359 -6.63397  5.74744  5.99403 -8.02316  8.00203 -7.52785 -5.25524  -5.2514  4.37056  6.54338  1.68094  9.67765
 5.10043  6.50863   6.6108  2.11591  17.6375   8.0415 0.412362   4.8623 -5.57574  7.31511 -5.45595 -7.63969  6.09092  1.80678  2.14683  2.06104
   6.83092    3.47852    2.11591     9.1327   -12.0575   0.986808    -7.1444   -5.57574    1.82779    5.56894   -8.01708   -7.13115    1.80678    6.04689 -0.0691269   -2.61753
  3.47852  -6.78519   7.67644   4.93698   5.50294   -7.1444  -5.13185   2.90804  -2.28022   1.99622  -7.13115   8.58821   5.46927 -0.168828  -7.39435  -1.00548
 -6.78519  -1.51591   10.3115   8.60419  -2.46733  -5.13185   2.99303  -5.50937  -4.59383  -5.59607   8.58821 -0.803225   6.78194  -8.21596  0.678486   2.55442
 -2.61245  0.312571   5.90805  -3.92259   1.27609   5.22426  -2.91561   -7.3212   4.86714 -0.174794  -9.59214    5.1063  -3.75445   5.59234  -1.94551   22.9153
 0.312571  -2.18935  -2.99231 -0.015436  -8.81148  -2.91561  -1.77855    4.4418 -0.683735  -9.25361    5.1063   9.83251 -0.230482 -0.371359   5.64971   1.31902
 -2.18935   1.37922   1.54962   7.77218   6.17023  -1.77855   4.70808    13.201   4.98959   4.36198   9.83251   4.70255 -0.625101   5.55976  -7.80355  -7.23321
 -1.84606   7.41918   4.68852   9.54501  0.681269   3.73552 0.0489769   4.08955   3.35476   -9.4908   4.00512   6.52836   4.52537  -6.46198   6.72425  -11.7524
  7.57249  -6.44062   9.13995   2.69222  -2.17568 0.0312936  -5.06758  0.776597   3.08707  -5.95435   6.72311  -7.26008  -6.00007   1.67468  -5.37562 -0.363798
 -6.44062  -5.46215   6.25877   5.51212  -7.09988  -5.06758   2.52277   3.71579   4.05182  -5.07313  -7.26008 -0.152595   2.29408  -2.52131  -4.97027   2.21515
 -5.07335   11.2733   1.77826   6.69279   6.27361   2.60073   5.19194   1.89633   3.71717 -0.113483 -0.119892   3.72154  -1.72693   -3.9917  -1.86609 -0.897535
