0.272327
 4.49897
 -8.5054
-4.51632
-6.01526 -1.38398
0.350427
-2.82532
 4.46442
-6.47508
-7.69521
-4.42652  8.45128
0.350427
-0.537177
  1.34455
-0.296654
 -8.02316
2.95944 1.76675
0.263642
-0.532013
 0.234451
0.0181885
  2.24411
 3.8557 4.59339
-10.5191
2.11591
8.40449
-8.98842
-4.64135
 0.70507 0.189154
0.263642
 3.50357
-4.94526
-3.52334
 -5.0926
-0.681508 -0.668313
0.350427
8.25119e-14
   -3.24546
 7.02533
-4.47256
2.09792 3.23154
-14.3881
   -8.17762
2.19856e-13
-9.78784
  2.7612
 5.3958 -5.4992
15.5348
 0.110837
0.0710733
10.1671
8.43645
-2.24072  3.49436
-6.34799
 1.00875
0.166856
0.0344872
  3.73286
 2.03349 -6.45421
23.8816
-2.87059
 1.22568
-8.06053
-1.24651
 1.19033 -3.34316
0.350427
   7.09972
2.4046e-13
-7.1598
1.68602
 3.49131 -3.21566
5.77209
0.535841
-2.57737
  6.24329
0.0881153
 2.00978 0.795881
-12.7587
  6.10289
-0.580811
-0.208646
  3.83591
0.336117  1.67758
-6.57597
8.84027
5.48481
4.58732
2.91881
 6.44512 -10.2946
0.613412
-2.39308
-3.30504
-7.80262
-9.16789
1.82775 9.14407
0.350427
    -5.43706
-3.54294e-14
-6.88078
 3.90878
 9.19294 -2.17916
8.86826
9.79472
3.52485
-9.90167
-1.94659
1.31885 0.45101
0.263642
 -12.6042
-0.709137
-0.430914
  5.62032
0.162745 -1.37401
7.58144
-2.01208
-6.24714
-2.08145
-6.60275
 -3.92038 -0.431671
0.350427
3.07364
2.81599
4.88729
3.03674
-5.52273  6.02803
9.03604
-3.01944e-14
    0.479208
  2.47339
-0.574638
 1.45103 -3.81788
-3.23853
43.4929
4.18418
67.3242
6.48426
0.758686 -7.88624
0.408999
1.0858e-12
   6.43782
 4.38043
-9.53496
1.84419 4.70306
-7.72792
9.21786
8.04896
-4.78618
-4.15512
 1.39615 -1.40777
0.262766
1.59898
 1.2647
10.3454
7.33307
-5.68925  7.19299
6.46153
-2.36476e-13
    -7.53509
 5.84373
-8.47098
3.51291 5.26437
-20.1781
   1.8224
-0.479632
0.700923
0.163977
0.759775  2.99375
-0.975016
-8.39313
-1.42821
-0.286945
  6.48747
   0.2444 -0.682224
4.28499
 -5.93853
-0.602092
0.203027
0.659676
0.345419 -1.78864
0.968874
 2.68672
-4.16978
5.39913
4.25552
-3.54355 -2.28322
29.1988
-0.649839
 0.356231
2.9262
1.7193
2.55383 4.65872
-15.1323
19.1818
6.33717
15.8777
5.39762
 1.74513 -5.24993
0.901819
-4.69288
-4.60628
6.90677
4.62881
 5.64626 -5.75241
-12.0201
-7.41437e-14
     2.52964
 4.11598
-2.86749
 5.03289 -5.92432
-20.3649
0.931278
  -7.017
  2.86722
-0.239897
1.04626 0.29233
-3.14077
0.96831
4.51448
 5.99011
0.154341
-1.11217 0.454378
6.45096
2.56856
3.28181
-6.65785
-1.81237
-4.85132  0.48441
0.263642
0.449344
-6.50876
  6.00518
-0.222522
  2.1684 0.315157
-13.1626
-2.23913
  10.169
-6.24747
-5.61578
 -8.1268 0.156333
0.263642
-8.22759e-14
   -0.548215
 3.62675
-6.54176
3.53764 -3.9239
-12.4797
11.422
7.1068
  -6.204
-3.86832
-0.960199   1.76692
0.263642
-4.13777
 3.78039
-4.16765
-2.08771
-1.92944 0.420524
0.263642
0.00661987
   1.79561
  -2.2569
-0.991618
-8.60887 0.885352
0.263642
0.445238
 4.39779
-5.68945
-2.42867
-4.48668 0.361487
0.263642
    -1.18465
-3.87819e-13
-3.82109
 1.42374
-6.25221  1.03302
-1.12033
-3.96976
 7.63126
1.76434
1.76106
0.310036  0.19488
-0.869822
-1.43701e-11
   -0.782828
 3.31225
-9.31918
 0.706761 -0.813767
-1.99054
 -7.2986
-14.0053
2.73945
5.53482
 5.25648 -2.69172
0.546789
-1.15894
 1.57654
0.396219
0.606363
 1.23897 0.878261
-0.975016
  5.12778
-0.055352
-5.24372
-1.04963
-1.70145  8.96467
0.350427
-5.14341
-1.85339
-9.41952
-3.31803
4.73179 7.41049
0.350427
    1.78988
