 5.28981 -6.78519 -2.46733 -3.86426 -5.13185 -5.59607  1.97576  6.96528 0.550272 -3.96254 -4.39902 0.935777
  4.50969  -1.01159  0.469588   4.14506   4.44496  -16.3605   4.57061  -35.0668   5.75783  -292.464 -0.821332  0.935777
 5.21818  9.04614 -2.17568  1.61285 -0.56827 -5.95435 -3.99067  8.24591 -5.37562 -1.72787  3.44922 0.935777
 8.29601  8.39768 -1.21262  5.32007  2.29993  2.44298  -4.5464  2.86579  -5.6027 0.192303 0.311574 0.875861
  9.96448   1.83467    5.0612 0.0183945   6.91851   -2.7199  -8.01659   2.75072  -7.05871  -2.22805  -2.88696  0.935777
 5.92563 -2.87369   5.8389   1.7169 -7.13083  4.90878  1.94958 -1.72181 0.152489  5.46049  2.49295 -12.6769
-7.12164 -1.69637  5.02859 0.837783  0.56089 -2.40494 -1.07246  8.52444  2.76918  8.38661 0.322658 -9.38681
-9.93519 -7.23007  2.91702  5.35167  6.05121 -2.04484  9.17065  -1.8075 -1.63693  5.39307   7.5077 0.935777
 -8.99945   2.55244    7.6857   5.46788   3.89144   5.76632   4.63885 -0.657864   -0.4995  -1.19512  -1.45065  0.935777
  6.17341    6.2178  -5.83565 -0.819004   6.41749  -9.83588   -9.0215   -1.0945   4.46755 -0.199654  -5.79183  0.935777
 -7.51061 -0.973387  -9.65831  -8.90441   1.21202  0.519597   5.41044   6.82878  -4.47848   6.13712 -0.957174  0.935777
 0.274349   7.96437  -2.42976   9.47625  -8.99626   5.39712   1.11371   5.70938 -0.286809  -2.24405   6.96561  0.935777
0.409778 -3.77342 -5.32252 -6.50445 -9.36617 -6.50103 -4.05018 -5.88744 -3.07869 -5.95283 -4.55341 0.935777
 2.65924 0.358548  7.08866  -5.6184   6.7207  9.36402 -9.38524  5.25411  -7.4047  4.50602 -1.54007  7.87537
-9.51331  7.60243 0.805885 -4.76119 -3.96138    8.125  7.29617  8.96298 -7.45852 -8.78262   9.7328 0.935777
-1.50842  4.31716 0.223129  3.20746  1.00166 -3.67566  -5.2286 -1.46259  5.51425 -9.85783  -3.2965 0.935777
 4.50763 -1.80803  5.37458  5.11039  8.63081 -4.64617 -7.58939  2.02655 -9.40258 -2.36103 -6.64666 0.935777
 3.37473 -2.47983   8.4105 0.413039  7.82969  5.31011 -5.07013  3.98955  6.11789  5.50104  3.72858 -19.5753
 9.55017   -1.997 -3.83193  4.80488 -9.78569  7.96899 -4.74067   9.7588 -5.90806 -5.34599  1.79383 0.935777
 -4.4961 -9.88792  3.98353   3.4927 -5.34307 -1.66851  7.20841   7.3066 -6.32388 -2.72653 -3.33348 0.935777
  2.54234   6.56693   9.12892   1.53896  -5.46232   3.73004  -3.63839 -0.606074   -8.9615  -3.57426  -6.39047  0.935777
