                        5.65171683335e+00 [untagged_block:100%]                                                                 4.23397440890e-01 [untagged_block:100%]                                                                 1.90309618792e+00 [untagged_block:100%]                                                            2.1159109732829826e+00 []                                                                 1.25435845181e+01 [untagged_block:100%]                                                                 7.57808393937e+00 [untagged_block:100%]                                                                 2.70846043734e-01 [untagged_block:100%]                                                                 1.62400958259e+00 [untagged_block:100%]                                                           -5.5757418057638741e+00 []                                                                 1.49250287898e+01 [untagged_block:100%]                                                               -5.209306651608e+00 [untagged_block:100%]                                                                -3.63866999750e+00 [untagged_block:100%]                                                                 1.86349021841e+00 [untagged_block:100%]                                                            1.8067825427927211e+00 []                                                                2.187213940285e+00 [untagged_block:100%]                                                                  5.3218729332e+00 [untagged_block:100%]                                         
                        6.6180583508430e+00 [untagged_block:100%]                                                                3.4785173650702461e+00 []                                                                2.1159109732829826e+00 []                                                                   9.3601731719036e+00 [untagged_block:100%]                                                                    2.574315782677e-02 [untagged_block:100%]                                                                   1.1729460742957e+00 [untagged_block:99%]                                                               -7.1444027034625002e+00 []                                                               -5.5757418057638741e+00 []                                                                   1.6483857900710e+00 [untagged_block:100%]                                                                 6.206089907080174e+00 [untagged_block:100%]                                                                 -8.06030716951439e+00 [untagged_block:100%]                                                               -7.1311467036884890e+00 []                                                                1.8067825427927211e+00 []                                                                   5.6985413008541e+00 [untagged_block:100%]                                                                  4.58603848402355e+00 [untagged_block:99%]                                                                 -2.79252780724944e+01 [untagged_block:100%]                                           
                       -2.16484250746e+00 [untagged_block:100%]                                                                  1.1097364215e+00 [untagged_block:100%]                                                                  3.9358464631e+00 [untagged_block:100%]                                                                7.978717876291e+00 [untagged_block:100%]                                                                6.005297955372e+00 [untagged_block:100%]                                                                -1.79307992187e+00 [untagged_block:100%]                                                                4.669311001469e+00 [untagged_block:100%]                                                                1.418563130463e+01 [untagged_block:99%]                                                                 5.40716135626e+00 [untagged_block:100%]                                                                4.060031047427e+00 [untagged_block:100%]                                                                 1.53464234249e+00 [untagged_block:100%]                                                                4.454054528146e+00 [untagged_block:100%]                                                               -8.249956911408e-01 [untagged_block:100%]                                                                 5.60880181834e+00 [untagged_block:100%]                                                               -7.734853895990e+00 [untagged_block:100%]                                                                -7.48644502219e+00 [untagged_block:100%]                                         
                        2.247219915007e-01 [untagged_block:100%]                                                                  3.660118260776e+00 [untagged_block:100%]                                                                   8.27741654542e+00 [untagged_block:100%]                                                                   7.33260903179e+00 [untagged_block:100%]                                                              6.8126870016552488e-01 []                                                                3.75882955190289e+00 [untagged_block:100%]                                                                 -3.930205920240e-01 [untagged_block:100%]                                                                   3.11067510103e+00 [untagged_block:100%]                                                                   2.84686442050e+00 [untagged_block:100%]                                                             -9.4907995853395111e+00 []                                                                  3.542382404429e+00 [untagged_block:100%]                                                                 -1.305495815407e-01 [untagged_block:100%]                                                                  4.605378074614e+00 [untagged_block:100%]                                                                  -5.23796297349e+00 [untagged_block:100%]                                                              6.7242517564558213e+00 []                                                                  -1.22533694397e+01 [untagged_block:100%]                                          
                        7.37875121466343e+00 [untagged_block:100%]                                                                  -5.685977742719177e+00 [untagged_block:100%]                                                                    8.93767298739274e+00 [untagged_block:100%]                                                                    -9.0288292121697e-03 [untagged_block:100%]                                                                 -2.1756759940308390e+00 []                                                                     -8.522608495156e-03 [untagged_block:100%]                                                                  -5.701720825561880e+00 [untagged_block:99%]                                                                     -3.260283471533e-02 [untagged_block:100%]                                                                     3.0296120189173e-01 [untagged_block:100%]                                                                 -5.9543525646087403e+00 []                                                                    6.25966543386481e+00 [untagged_block:100%]                                                                   -2.19589243777759e+00 [untagged_block:100%]                                                                    -5.1678455889675e+00 [untagged_block:100%]                                                                     1.3164720646560e+00 [untagged_block:100%]                                                                 -5.3756239292399455e+00 []                                                                      4.359117215505e-02 [untagged_block:100%]                                            
                      -6.0296209765671e+00 [untagged_block:99%]                                                                -2.6592906716851e+00 [untagged_block:100%]                                                                 8.4603176053360e+00 [untagged_block:100%]                                                                  2.075850782961e+00 [untagged_block:100%]                                                                -8.5853295582917e+00 [untagged_block:100%]                                                                -5.3930372841539e+00 [untagged_block:99%]                                                                  2.676626658193e+00 [untagged_block:100%]                                                                 2.6124507033511e+00 [untagged_block:100%]                                                                 6.3270933944560e+00 [untagged_block:100%]                                                                -2.7985960942183e+00 [untagged_block:100%]                                                                 4.6632334380673e-01 [untagged_block:100%]                                                                 5.6289629695558e+00 [untagged_block:100%]                                                                  2.491245296963e+00 [untagged_block:100%]                                                                 -2.857559672988e+00 [untagged_block:100%]                                                                 -2.528341622541e+00 [untagged_block:100%]                                                                 -3.057952309116e+00 [untagged_block:100%]                                          
                       -1.439024459427e+00 [untagged_block:100%]                                                                 9.1259548996824e+00 [untagged_block:100%]                                                                 -4.202589648621e+00 [untagged_block:99%]                                                                 7.4561391210921e+00 [untagged_block:100%]                                                                  2.360968735712e+00 [untagged_block:100%]                                                                 2.9314982798634e+00 [untagged_block:100%]                                                                 5.1124025835340e+00 [untagged_block:100%]                                                                  4.180930280171e+00 [untagged_block:100%]                                                                 4.1831551415726e+00 [untagged_block:100%]                                                                  1.319619831075e+00 [untagged_block:100%]                                                                 5.6195206434004e+00 [untagged_block:100%]                                                                 3.5741486683266e+00 [untagged_block:100%]                                                                -2.0452572503615e+00 [untagged_block:100%]                                                                -3.9705477944474e+00 [untagged_block:100%]                                                                -1.4821421606254e+00 [untagged_block:100%]                                                                -7.1074642271762e+00 [untagged_block:100%]                                          
                        1.4199483056440e+01 [untagged_block:100%]                                                                 3.323514306428206e+00 [untagged_block:100%]                                                                   5.0498277480080e+00 [untagged_block:100%]                                                                  8.17834556437665e+00 [untagged_block:100%]                                                                  -1.9028074217057e+00 [untagged_block:100%]                                                                   5.6582721517484e-01 [untagged_block:100%]                                                                   8.0038049869304e+00 [untagged_block:99%]                                                                  5.06144461923545e+00 [untagged_block:100%]                                                                  3.11703322300167e-01 [untagged_block:100%]                                                                   1.9636330463011e+00 [untagged_block:100%]                                                                   3.7867550533177e+00 [untagged_block:100%]                                                                  3.22976942570607e+00 [untagged_block:100%]                                                                 -3.98007505216515e+00 [untagged_block:100%]                                                                 -6.57113757830354e+00 [untagged_block:100%]                                                                  -4.9156313327318e+00 [untagged_block:100%]                                                                   4.3900195380725e+00 [untagged_block:100%]                                           
                         6.704011341764e+00 [untagged_block:100%]                                                                   5.8607538404947e-02 [untagged_block:100%]                                                                    3.302073836768e+00 [untagged_block:100%]                                                               -2.3930841893329768e+00 []                                                                  3.67249474013734e+00 [untagged_block:100%]                                                                    1.247496914253e+00 [untagged_block:100%]                                                                     6.94040433798e-02 [untagged_block:100%]                                                                    6.740316112253e-01 [untagged_block:100%]                                                               -9.1678895688452222e+00 []                                                                 -3.69257935758241e+00 [untagged_block:100%]                                                                    1.339361481808e+00 [untagged_block:100%]                                                                   4.2026805047964e+00 [untagged_block:100%]                                                                  -2.7473713500492e+00 [untagged_block:100%]                                                               -4.4071365666994744e+00 []                                                                  -2.8402372282378e+00 [untagged_block:100%]                                                                     3.39771178443e-01 [untagged_block:100%]                                           
                        -9.8801943963356e-01 [untagged_block:100%]                                                                    -4.0709185792273e+00 [untagged_block:100%]                                                                 -2.3930841893329768e+00 []                                                                   -8.45264848477568e+00 [untagged_block:100%]                                                                  -6.241263786418012e+00 [untagged_block:100%]                                                                     9.9886872467062e-01 [untagged_block:100%]                                                                   6.758204053169704e+00 [untagged_block:99%]                                                                 -9.1678895688452222e+00 []                                                                    9.74452107685424e+00 [untagged_block:100%]                                                                    7.35621877182594e+00 [untagged_block:100%]                                                                    5.45163769895820e+00 [untagged_block:100%]                                                                  2.1878052131048560e+00 [untagged_block:100%]                                                                 -4.4071365666994744e+00 []                                                                   -4.21704053395369e+00 [untagged_block:100%]                                                                    3.40958180424106e+00 [untagged_block:100%]                                                                   -3.71969376184957e+00 [untagged_block:100%]                                            
