3.83775441e-08 [untagged_block:100%]
2.14407e-17
9.25284
2.36682e-09 [untagged_block:100%]
4.69012e-16
6.70298
9.8147e-10 [untagged_block:100%]
1.13502e-15
5.93687
1.32e-10 [untagged_block:100%]
1.03436e-13
3.10647
5.528247e-09 [untagged_block:100%]
3.18193e-16
7.2399
4.47e-09 [untagged_block:100%]
1.88826e-12
3.37466
5.50820850e-09 [untagged_block:100%]
2.46899e-18
9.34849
1.1572e-09 [untagged_block:100%]
6.9854e-15
5.21922
1.4683e-08 [untagged_block:100%]
2.80282e-14
5.71922
2.044e-09 [untagged_block:100%]
8.16629e-14
4.39844
3.26e-09 [untagged_block:100%]
3.27962e-13
3.99694
4.827580e-08 [untagged_block:100%]
8.39242e-16
7.75984
1.2522e-08 [untagged_block:99%]
2.09385e-14
5.77674
7.0363e-08 [untagged_block:100%]
1.04706e-13
5.82737
1.70258e-08 [untagged_block:100%]
1.399e-14
6.08529
1.16e-09 [untagged_block:100%]
2.38401e-13
3.68761
1.79086e-09 [untagged_block:100%]
3.10341e-16
6.76122
3.25253987e-08 [untagged_block:100%]
2.19553e-17
9.17068
1.1568e-08 [untagged_block:100%]
2.32399e-14
5.69703
1.75613e-08 [untagged_block:100%]
3.8075e-15
6.66392
1.27e-09 [untagged_block:100%]
4.75473e-13
3.42744
1.05968e-09 [untagged_block:100%]
3.06757e-16
6.53838
1.554776e-08 [untagged_block:100%]
1.30051e-15
7.07755
2.3466e-09 [untagged_block:100%]
2.84226e-15
5.91678
4.8662e-09 [untagged_block:100%]
3.02059e-14
5.20709
4.677e-09 [untagged_block:100%]
5.59495e-14
4.92221
7.3033e-09 [untagged_block:100%]
1.7102e-14
5.63047
7.14527e-08 [untagged_block:100%]
1.9467e-14
6.56472
2.0011e-09 [untagged_block:100%]
2.20451e-15
5.95795
1.534e-09 [untagged_block:100%]
2.10091e-14
4.86345
9.0346e-09 [untagged_block:100%]
1.86923e-14
5.68424
1.2976e-08 [untagged_block:100%]
5.14699e-14
5.40158
5.090e-08 [untagged_block:99%]
7.15795e-13
4.85195
4.6080e-08 [untagged_block:100%]
1.9078e-13
5.38298
1.0045e-08 [untagged_block:100%]
3.53984e-14
5.45295
1.783091e-08 [untagged_block:100%]
6.93625e-16
7.41005
3.48187e-08 [untagged_block:100%]
2.57833e-14
6.13047
9.333793e-08 [untagged_block:100%]
1.4351e-15
7.81318
1.0754853e-08 [untagged_block:100%]
8.2652e-17
8.11435
6.01747e-09 [untagged_block:100%]
2.84576e-15
6.32522
2.2531e-09 [untagged_block:100%]
7.29639e-15
5.48967
6.66588e-09 [untagged_block:100%]
3.99611e-15
6.22222
7.23876963e-09 [untagged_block:100%]
6.21828e-18
9.06599
9.2916864e-08 [untagged_block:100%]
6.21006e-16
8.175
1.2904e-09 [untagged_block:100%]
2.00094e-15
5.80949
1.740681e-08 [untagged_block:100%]
6.38251e-16
7.43573
2.01933e-08 [untagged_block:99%]
2.56645e-15
6.89587
3.701e-09 [untagged_block:100%]
5.47461e-14
4.83001
3.03630e-08 [untagged_block:100%]
1.10359e-14
6.43954
4.80078e-09 [untagged_block:100%]
9.66455e-16
6.69613
1.98697e-09 [untagged_block:100%]
7.75161e-16
6.4088
3.75113e-08 [untagged_block:100%]
1.35986e-14
6.44067
4.18458946e-09 [untagged_block:100%]
1.44119e-18
9.46293
1.2237e-09 [untagged_block:100%]
1.84112e-15
5.8226
1.032e-09 [untagged_block:100%]
4.08097e-14
4.40302
2.004e-09 [untagged_block:100%]
2.99808e-14
4.82513
2.88191e-09 [untagged_block:100%]
6.83093e-16
6.6252
1.04070e-09 [untagged_block:100%]
4.06646e-16
6.40811
6.1329e-08 [untagged_block:100%]
5.80307e-13
5.02401
8.9657124e-08 [untagged_block:100%]
4.81533e-16
8.26996
1.7921e-09 [untagged_block:100%]
1.9502e-15
5.96327
8.7458e-08 [untagged_block:100%]
1.14598e-13
5.88262
3.5821726e-09 [untagged_block:100%]
2.39152e-17
8.17547
8.79e-10 [untagged_block:100%]
1.09432e-13
3.90486
7.537089e-09 [untagged_block:100%]
1.61036e-16
7.67028
1.02035e-08 [untagged_block:100%]
6.34255e-15
6.20648
3.20418e-08 [untagged_block:100%]
7.90906e-15
6.60759
1.1419e-09 [untagged_block:100%]
